# Chunk-averaged data for fix 11 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Coord2 Ncount v_temp
20000000 3200 9600
  625 0.1975 0.03125 3.00157 303.824
  626 0.1975 0.09375 3.00158 302.467
  627 0.1975 0.15625 3.00164 303.732
  628 0.1975 0.21875 3.00157 303.644
  629 0.1975 0.28125 3.00162 305.027
  630 0.1975 0.34375 3.00133 304.131
  631 0.1975 0.40625 3.0016 305.015
  632 0.1975 0.46875 3.00147 304.684
  633 0.1975 0.53125 3.00155 303.436
  634 0.1975 0.59375 3.00162 302.94
  635 0.1975 0.65625 3.00145 304.263
  636 0.1975 0.71875 3.00149 302.436
  637 0.1975 0.78125 3.00156 302.822
  638 0.1975 0.84375 3.00139 304.625
  639 0.1975 0.90625 3.00138 304.337
  640 0.1975 0.96875 3.00147 304.013
  641 0.2025 0.03125 3.00167 303.345
  642 0.2025 0.09375 3.00158 303.16
  643 0.2025 0.15625 3.00161 303.693
  644 0.2025 0.21875 3.00193 303.912
  645 0.2025 0.28125 3.00204 303.874
  646 0.2025 0.34375 3.00208 303.821
  647 0.2025 0.40625 3.00174 303.168
  648 0.2025 0.46875 3.00179 304.912
  649 0.2025 0.53125 3.00178 303.933
  650 0.2025 0.59375 3.00169 302.561
  651 0.2025 0.65625 3.00186 303.399
  652 0.2025 0.71875 3.002 302.902
  653 0.2025 0.78125 3.00194 302.248
  654 0.2025 0.84375 3.00214 303.362
  655 0.2025 0.90625 3.00201 303.635
  656 0.2025 0.96875 3.00151 302.882
  657 0.2075 0.03125 3.00173 304.154
  658 0.2075 0.09375 3.00215 303.73
  659 0.2075 0.15625 3.00262 303.425
  660 0.2075 0.21875 3.00255 305.016
  661 0.2075 0.28125 3.00236 303.183
  662 0.2075 0.34375 3.00224 303.117
  663 0.2075 0.40625 3.00206 303.78
  664 0.2075 0.46875 3.00187 303.575
  665 0.2075 0.53125 3.00196 303.618
  666 0.2075 0.59375 3.00217 305.416
  667 0.2075 0.65625 3.00244 305.28
